Issue Number,Title,State,Labels,Created At,User,Body,URL
3326,C# is a language I don't seem to find,closed,[],2025-01-06T15:28:03Z,smileyousobeautiful,"Your repository is very comprehensive, but I don't seem to have found the C# language, so please add it",https://github.com/sindresorhus/awesome/issues/3326
3302,What Are the Criteria for “No Blockchain-Related Lists” in Pull Request Guidelines?,closed,[],2024-12-10T14:51:29Z,yijun-lee,"Looking at the pull request requirements, there’s a condition stating **“No blockchain-related lists.”** 
What exactly is the criterion for this? 
There are already some “blockchain-related” items on the existing awesome list, and it seems like the current PR also includes such items.",https://github.com/sindresorhus/awesome/issues/3302
3266,Handbrake Web is listed twice,closed,[],2024-11-09T20:29:29Z,RonnyAL,"Lines 193-194 of README.md. Tried to submit a pull request, but wasn't allowed to.

Thanks for providing an awesome resource.",https://github.com/sindresorhus/awesome/issues/3266
3265,Alphabetically order the Content section,closed,[],2024-11-08T19:27:58Z,l4uZP,I believe organizing the content list alphabetically would be helpful to make it easier for new users to locate information.,https://github.com/sindresorhus/awesome/issues/3265
3241,Awesome Windows link is dead,closed,[],2024-10-11T12:56:26Z,abhy-kumar,No detailed description needed - the Windows link in platform section leads to a 404 ,https://github.com/sindresorhus/awesome/issues/3241
3216,create-list.md not clear about license and contributing in footernote,closed,[],2024-09-23T08:47:55Z,mikbry,"I read carefully the doc to check [Awesome-WebGPU](https://github.com/mikbry/awesome-webgpu), I started it several years ago. So we need to clean it up. But one part is not clear regarding the footernote:
`Do not add the license name, text, or a Licence section to the readme.` Ok but if I want to add:
```
To the extent possible under law, [Mik Bry](https://github.com/mikbry) has waived all copyright and related or neighboring rights to this work.
```
You give an [Example](https://github.com/woop/awesome-quantified-self) that is made like that, but it doesn't pass awesome-lint...

Same for contributing, should I put it in the footernote ?

Thanks for your great work !",https://github.com/sindresorhus/awesome/issues/3216
3211,Who is behind project-awesome.org?,closed,[],2024-09-21T07:49:59Z,ooker777,It seems like you don't have any affiliate with it. Any idea where does it come from?,https://github.com/sindresorhus/awesome/issues/3211
3154,Add Machine Learning section,closed,[],2024-08-16T14:04:15Z,ErezBinyamin,"Machine Learning and LLM's in particular are increasingly becoming technical areas of interest across many domains. Creating a section in this meta-awesome repository to point folks in the direction of resources that can help them get started with ML/LLMs would be worthwhile.

Some awesome pages to add:
- Prompts:
  - https://github.com/f/awesome-chatgpt-prompts
  - https://github.com/ai-boost/awesome-prompts
- LLM:
  - https://github.com/Hannibal046/Awesome-LLM
  - https://github.com/DefTruth/Awesome-LLM-Inference

etc... 

If desired I'm happy to submit a PR with a first pass at some worthwhile awesome-repos",https://github.com/sindresorhus/awesome/issues/3154
3151,Add Japanese list,closed,[],2024-08-14T18:59:47Z,nktrjsk,"Hi, I've found this Awesome Japanese list, but didn't find it here, so I think you should take a look if it can be placed here: https://github.com/yudataguy/Awesome-Japanese",https://github.com/sindresorhus/awesome/issues/3151
3116,Add New List: Awesome Machine Learning,closed,[],2024-07-21T09:50:19Z,MasterOfBrokenLogic,"I would like to suggest adding a new list for Machine Learning resources. This list includes curated resources such as tutorials, frameworks, datasets, and more. Here is the link to the list: [awesome-machine-learning](https://github.com/josephmisiti/awesome-machine-learning).

Thank you for considering this addition! ❤️",https://github.com/sindresorhus/awesome/issues/3116
